Model,Type,Account,Distance,Correct,Repetition per Account(Model),Repetition per Type(Model),Repetition per Question(Model),Account(Model) Cumulative,Type(Model) Cumulative,Question(Model) Cumulative,Account(Model) Percentual,Type(Model) Percentual,Question(Model) Percentual,Type and Account Percentual
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.262252939417984,0,323,869,3562,0,0,0,=0/323,=0/869,=0/3562,=0/69
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.948684188300895,0,324,870,3563,0,0,0,=0/324,=0/870,=0/3563,=0/70
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.262252939417984,0,325,871,3564,0,0,0,=0/325,=0/871,=0/3564,=0/71
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,39.96248240537617,0,326,872,3565,0,0,0,=0/326,=0/872,=0/3565,=0/72
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,39.293765408777,0,327,873,3566,0,0,0,=0/327,=0/873,=0/3566,=0/73
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,39.293765408777,0,328,874,3567,0,0,0,=0/328,=0/874,=0/3567,=0/74
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,39.293765408777,0,329,875,3568,0,0,0,=0/329,=0/875,=0/3568,=0/75
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,39.293765408777,0,330,876,3569,0,0,0,=0/330,=0/876,=0/3569,=0/76
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.262252939417984,0,331,877,3570,0,0,0,=0/331,=0/877,=0/3570,=0/77
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.262252939417984,0,332,878,3571,0,0,0,=0/332,=0/878,=0/3571,=0/78
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.0,0,333,879,3572,0,0,0,=0/333,=0/879,=0/3572,=0/79
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.262252939417984,0,334,880,3573,0,0,0,=0/334,=0/880,=0/3573,=0/80
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,39.293765408777,0,335,881,3574,0,0,0,=0/335,=0/881,=0/3574,=0/81
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.34057902536163,0,336,882,3575,0,0,0,=0/336,=0/882,=0/3575,=0/82
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,39.293765408777,0,337,883,3576,0,0,0,=0/337,=0/883,=0/3576,=0/83
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.262252939417984,0,338,884,3577,0,0,0,=0/338,=0/884,=0/3577,=0/84
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,39.293765408777,0,339,885,3578,0,0,0,=0/339,=0/885,=0/3578,=0/85
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.262252939417984,0,340,886,3579,0,0,0,=0/340,=0/886,=0/3579,=0/86
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.262252939417984,0,341,887,3580,0,0,0,=0/341,=0/887,=0/3580,=0/87
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.0,0,342,888,3581,0,0,0,=0/342,=0/888,=0/3581,=0/88
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.948684188300895,0,343,889,3582,0,0,0,=0/343,=0/889,=0/3582,=0/89
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.262252939417984,0,344,890,3583,0,0,0,=0/344,=0/890,=0/3583,=0/90
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,39.293765408777,0,345,891,3584,0,0,0,=0/345,=0/891,=0/3584,=0/91
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,39.293765408777,0,346,892,3585,0,0,0,=0/346,=0/892,=0/3585,=0/92
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.262252939417984,0,347,893,3586,0,0,0,=0/347,=0/893,=0/3586,=0/93
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,39.293765408777,0,348,894,3587,0,0,0,=0/348,=0/894,=0/3587,=0/94
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,39.293765408777,0,349,895,3588,0,0,0,=0/349,=0/895,=0/3588,=0/95
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,39.293765408777,0,350,896,3589,0,0,0,=0/350,=0/896,=0/3589,=0/96
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.34057902536163,0,351,897,3590,0,0,0,=0/351,=0/897,=0/3590,=0/97
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,32.863353450309965,0,316,1375,3555,0,0,0,=0/316,=0/1375,=0/3555,=0/155
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,28.231188426986208,0,353,1376,3592,0,0,0,=0/353,=0/1376,=0/3592,=0/156
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,38.262252939417984,0,352,898,3591,0,0,0,=0/352,=0/898,=0/3591,=0/98
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,39.293765408777,0,355,899,3594,0,0,0,=0/355,=0/899,=0/3594,=0/99
gemini-1.5-flash-002,PoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,39.293765408777,0,356,900,3595,0,0,0,=0/356,=0/900,=0/3595,=0/100
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,33.03028912982749,0,354,1377,3593,0,0,0,=0/354,=0/1377,=0/3593,=0/157
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,33.94112549695428,0,357,1378,3596,0,0,0,=0/357,=0/1378,=0/3596,=0/158
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,33.77869150810907,0,358,1379,3597,0,0,0,=0/358,=0/1379,=0/3597,=0/159
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,30.083217912982647,0,359,1380,3598,0,0,0,=0/359,=0/1380,=0/3598,=0/160
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,32.0,0,360,1381,3599,0,0,0,=0/360,=0/1381,=0/3599,=0/161
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,32.92415526630866,0,361,1382,3600,0,0,0,=0/361,=0/1382,=0/3600,=0/162
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,30.364452901377952,0,362,1383,3601,0,0,0,=0/362,=0/1383,=0/3601,=0/163
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,27.76688675382964,0,363,1384,3602,0,0,0,=0/363,=0/1384,=0/3602,=0/164
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,29.916550603303182,0,364,1385,3603,0,0,0,=0/364,=0/1385,=0/3603,=0/165
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,35.66510900025401,0,365,1386,3604,0,0,0,=0/365,=0/1386,=0/3604,=0/166
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,29.120439557122072,0,366,1387,3605,0,0,0,=0/366,=0/1387,=0/3605,=0/167
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,29.512709126747414,0,367,1388,3606,0,0,0,=0/367,=0/1388,=0/3606,=0/168
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,27.40437921208944,0,368,1389,3607,0,0,0,=0/368,=0/1389,=0/3607,=0/169
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,36.4417343165772,0,369,1390,3608,0,0,0,=0/369,=0/1390,=0/3608,=0/170
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.368774282716245,0,370,1391,3609,0,0,0,=0/370,=0/1391,=0/3609,=0/171
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,32.61901286060018,0,371,1392,3610,0,0,0,=0/371,=0/1392,=0/3610,=0/172
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,33.71943060017473,0,372,1393,3611,0,0,0,=0/372,=0/1393,=0/3611,=0/173
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.51190251317746,0,373,1394,3612,0,0,0,=0/373,=0/1394,=0/3612,=0/174
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,32.4037034920393,0,374,1395,3613,0,0,0,=0/374,=0/1395,=0/3613,=0/175
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,27.367864366808018,0,375,1396,3614,0,0,0,=0/375,=0/1396,=0/3614,=0/176
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,32.37282811247729,0,376,1397,3615,0,0,0,=0/376,=0/1397,=0/3615,=0/177
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,28.035691537752374,0,377,1398,3616,0,0,0,=0/377,=0/1398,=0/3616,=0/178
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,33.94112549695428,0,378,1399,3617,0,0,0,=0/378,=0/1399,=0/3617,=0/179
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,32.7414110874898,0,379,1400,3618,0,0,0,=0/379,=0/1400,=0/3618,=0/180
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,34.92849839314596,0,380,1401,3619,0,0,0,=0/380,=0/1401,=0/3619,=0/181
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.811947441173732,0,381,1402,3620,0,0,0,=0/381,=0/1402,=0/3620,=0/182
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,29.103264421710495,0,382,1403,3621,0,0,0,=0/382,=0/1403,=0/3621,=0/183
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,33.734255586866,0,383,1404,3622,0,0,0,=0/383,=0/1404,=0/3622,=0/184
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,33.03028912982749,0,384,1405,3623,0,0,0,=0/384,=0/1405,=0/3623,=0/185
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,26.13426869074396,0,385,1406,3624,0,0,0,=0/385,=0/1406,=0/3624,=0/186
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.016124838541646,0,386,1407,3625,0,0,0,=0/386,=0/1407,=0/3625,=0/187
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.0,0,387,1408,3626,0,0,0,=0/387,=0/1408,=0/3626,=0/188
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,28.26658805020514,0,388,1409,3627,0,0,0,=0/388,=0/1409,=0/3627,=0/189
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,32.4037034920393,0,389,1410,3628,0,0,0,=0/389,=0/1410,=0/3628,=0/190
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,33.689761055846034,0,390,1411,3629,0,0,0,=0/390,=0/1411,=0/3629,=0/191
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,29.154759474226502,0,391,1412,3630,0,0,0,=0/391,=0/1412,=0/3630,=0/192
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,30.347981810987037,0,392,1413,3631,0,0,0,=0/392,=0/1413,=0/3631,=0/193
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,35.22782990761707,0,393,1414,3632,0,0,0,=0/393,=0/1414,=0/3632,=0/194
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,35.014282800023196,0,394,1415,3633,0,0,0,=0/394,=0/1415,=0/3633,=0/195
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,33.13608305156178,0,395,1416,3634,0,0,0,=0/395,=0/1416,=0/3634,=0/196
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,27.94637722496424,0,396,1417,3635,0,0,0,=0/396,=0/1417,=0/3635,=0/197
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.480152477394387,0,397,1418,3636,0,0,0,=0/397,=0/1418,=0/3636,=0/198
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,29.949958263743873,0,398,1419,3637,0,0,0,=0/398,=0/1419,=0/3637,=0/199
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,25.199206336708304,0,399,1420,3638,0,0,0,=0/399,=0/1420,=0/3638,=0/200
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,33.24154027718932,0,300,1318,3539,0,0,0,=0/300,=0/1318,=0/3539,=0/99
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,33.27160951922825,0,401,1319,3640,0,0,0,=0/401,=0/1319,=0/3640,=0/100
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,28.35489375751565,0,402,1320,3641,0,0,0,=0/402,=0/1320,=0/3641,=0/101
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,32.38826948140329,0,403,1321,3642,0,0,0,=0/403,=0/1321,=0/3642,=0/102
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.352830813181765,0,404,1322,3643,0,0,0,=0/404,=0/1322,=0/3643,=0/103
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,29.512709126747414,0,405,1323,3644,0,0,0,=0/405,=0/1323,=0/3644,=0/104
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,25.942243542145693,0,406,1324,3645,0,0,0,=0/406,=0/1324,=0/3645,=0/105
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,30.740852297878796,0,400,1421,3639,0,0,0,=0/400,=0/1421,=0/3639,=0/201
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,32.17141588429082,0,408,1422,3647,0,0,0,=0/408,=0/1422,=0/3647,=0/202
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,30.967725134404045,0,409,1423,3648,0,0,0,=0/409,=0/1423,=0/3648,=0/203
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,33.34666400106613,0,410,1424,3649,0,0,0,=0/410,=0/1424,=0/3649,=0/204
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,30.983866769659336,0,411,1425,3650,0,0,0,=0/411,=0/1425,=0/3650,=0/205
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,28.24889378365107,0,412,1426,3651,0,0,0,=0/412,=0/1426,=0/3651,=0/206
gemini-1.5-flash-002,one_shot,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,32.526911934581186,0,413,1427,3652,0,0,0,=0/413,=0/1427,=0/3652,=0/207
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,+,0,407,1325,3646,0,0,0,=0/407,=0/1325,=0/3646,=0/106
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,35.84689665786984,0,414,1326,3653,0,0,0,=0/414,=0/1326,=0/3653,=0/107
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,30.967725134404045,0,415,1327,3654,0,0,0,=0/415,=0/1327,=0/3654,=0/108
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.192947920964443,0,416,1328,3655,0,0,0,=0/416,=0/1328,=0/3655,=0/109
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,29.086079144497972,0,417,1329,3656,0,0,0,=0/417,=0/1329,=0/3656,=0/110
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,28.178005607210743,0,418,1330,3657,0,0,0,=0/418,=0/1330,=0/3657,=0/111
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,29.832867780352597,0,419,1331,3658,0,0,0,=0/419,=0/1331,=0/3658,=0/112
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,34.10278580995987,0,420,1332,3659,0,0,0,=0/420,=0/1332,=0/3659,=0/113
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,29.949958263743873,0,421,1333,3660,0,0,0,=0/421,=0/1333,=0/3660,=0/114
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,32.07802986469088,0,422,1334,3661,0,0,0,=0/422,=0/1334,=0/3661,=0/115
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,28.53068523537421,0,423,1335,3662,0,0,0,=0/423,=0/1335,=0/3662,=0/116
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,34.55430508634199,0,424,1336,3663,0,0,0,=0/424,=0/1336,=0/3663,=0/117
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.591137997862628,0,425,1337,3664,0,0,0,=0/425,=0/1337,=0/3664,=0/118
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.20897306865447,0,426,1338,3665,0,0,0,=0/426,=0/1338,=0/3665,=0/119
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.160872901765767,0,427,1339,3666,0,0,0,=0/427,=0/1339,=0/3666,=0/120
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,33.57082066318904,0,428,1340,3667,0,0,0,=0/428,=0/1340,=0/3667,=0/121
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.811947441173732,0,429,1341,3668,0,0,0,=0/429,=0/1341,=0/3668,=0/122
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.272991542223778,0,430,1342,3669,0,0,0,=0/430,=0/1342,=0/3669,=0/123
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,+,0,431,1343,3670,0,0,0,=0/431,=0/1343,=0/3670,=0/124
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,30.430248109405877,0,432,1344,3671,0,0,0,=0/432,=0/1344,=0/3671,=0/125
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,27.477263328068172,0,433,1345,3672,0,0,0,=0/433,=0/1345,=0/3672,=0/126
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,29.13760456866693,0,434,1346,3673,0,0,0,=0/434,=0/1346,=0/3673,=0/127
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.73326330524486,0,435,1347,3674,0,0,0,=0/435,=0/1347,=0/3674,=0/128
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,32.41913015489465,0,436,1348,3675,0,0,0,=0/436,=0/1348,=0/3675,=0/129
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,33.896902513356586,0,437,1349,3676,0,0,0,=0/437,=0/1349,=0/3676,=0/130
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,30.347981810987037,0,438,1350,3677,0,0,0,=0/438,=0/1350,=0/3677,=0/131
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,29.966648127543394,0,439,1351,3678,0,0,0,=0/439,=0/1351,=0/3678,=0/132
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.559467676119,0,440,1352,3679,0,0,0,=0/440,=0/1352,=0/3679,=0/133
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,32.69556544854363,0,441,1353,3680,0,0,0,=0/441,=0/1353,=0/3680,=0/134
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,29.46183972531247,0,442,1354,3681,0,0,0,=0/442,=0/1354,=0/3681,=0/135
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,28.705400188814647,0,443,1355,3682,0,0,0,=0/443,=0/1355,=0/3682,=0/136
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,29.393876913398138,0,444,1356,3683,0,0,0,=0/444,=0/1356,=0/3683,=0/137
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.63858403911275,0,445,1357,3684,0,0,0,=0/445,=0/1357,=0/3684,=0/138
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,33.77869150810907,0,446,1358,3685,0,0,0,=0/446,=0/1358,=0/3685,=0/139
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.78049716414141,0,447,1359,3686,0,0,0,=0/447,=0/1359,=0/3686,=0/140
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,29.49576240750525,0,448,1360,3687,0,0,0,=0/448,=0/1360,=0/3687,=0/141
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.04834939252005,0,449,1361,3688,0,0,0,=0/449,=0/1361,=0/3688,=0/142
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,26.362852652928137,0,450,1362,3689,0,0,0,=0/450,=0/1362,=0/3689,=0/143
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,28.965496715920477,0,451,1363,3690,0,0,0,=0/451,=0/1363,=0/3690,=0/144
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,33.49626844888845,0,452,1364,3691,0,0,0,=0/452,=0/1364,=0/3691,=0/145
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,29.597297173897484,0,453,1365,3692,0,0,0,=0/453,=0/1365,=0/3692,=0/146
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,31.85906464414798,0,454,1366,3693,0,0,0,=0/454,=0/1366,=0/3693,=0/147
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,30.463092423455635,0,455,1367,3694,0,0,0,=0/455,=0/1367,=0/3694,=0/148
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,+,0,456,1368,3695,0,0,0,=0/456,=0/1368,=0/3695,=0/149
gemini-1.5-flash-002,CoT,RJVo13lZOiNxT3R5nWLWWNtMMIW8OdHczhAfeg==,35.014282800023196,0,457,1369,3696,0,0,0,=0/457,=0/1369,=0/3696,=0/150
