Model,Type,Account,X,Y,Correct,Repetition per Account(Model),Repetition per Type(Model),Repetition per Question(Model),Account(Model) Cumulative,Type(Model) Cumulative,Question(Model) Cumulative,Account(Model) Percentual,Type(Model) Percentual,Question(Model) Percentual,Type and Account Percentual
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,283,816,2846,192,0,2022,=192/283,=0/816,=2022/2846,=0/90
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,635,985,2841,480,985,2019,=480/635,=985/985,=2019/2841,=228/228
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,636,988,2848,481,988,2023,=481/636,=988/988,=2023/2848,=229/229
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,637,989,2849,482,989,2024,=482/637,=989/989,=2024/2849,=230/230
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,638,990,2850,483,990,2025,=483/638,=990/990,=2025/2850,=231/231
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,639,991,2851,484,991,2026,=484/639,=991/991,=2026/2851,=232/232
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,640,992,2852,485,992,2027,=485/640,=992/992,=2027/2852,=233/233
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,641,993,2853,486,993,2028,=486/641,=993/993,=2028/2853,=234/234
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,281,987,2844,192,987,2022,=192/281,=987/987,=2022/2844,=78/78
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,285,995,2855,193,995,2030,=193/285,=995/995,=2030/2855,=79/79
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,642,994,2854,487,994,2029,=487/642,=994/994,=2029/2854,=235/235
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,643,997,2857,488,997,2032,=488/643,=997/997,=2032/2857,=236/236
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,284,817,2847,192,0,2022,=192/284,=0/817,=2022/2847,=0/91
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,287,818,2859,194,0,2033,=194/287,=0/818,=2033/2859,=0/92
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,288,819,2860,194,0,2033,=194/288,=0/819,=2033/2860,=0/93
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,289,820,2861,194,0,2033,=194/289,=0/820,=2033/2861,=0/94
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,290,821,2862,194,0,2033,=194/290,=0/821,=2033/2862,=0/95
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,291,822,2863,194,0,2033,=194/291,=0/822,=2033/2863,=0/96
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,292,823,2864,194,0,2033,=194/292,=0/823,=2033/2864,=0/97
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,293,824,2865,194,0,2033,=194/293,=0/824,=2033/2865,=0/98
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,294,825,2866,194,0,2033,=194/294,=0/825,=2033/2866,=0/99
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,286,996,2856,194,996,2031,=194/286,=996/996,=2031/2856,=80/80
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,296,999,2868,195,999,2034,=195/296,=999/999,=2034/2868,=81/81
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,295,826,2867,194,0,2033,=194/295,=0/826,=2033/2867,=0/100
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,298,827,2870,196,0,2035,=196/298,=0/827,=2035/2870,=0/101
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,297,1000,2869,196,1000,2035,=196/297,=1000/1000,=2035/2869,=82/82
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,300,1001,2872,197,1001,2036,=197/300,=1001/1001,=2036/2872,=83/83
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,301,1002,2873,198,1002,2037,=198/301,=1002/1002,=2037/2873,=84/84
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,302,1003,2874,199,1003,2038,=199/302,=1003/1003,=2038/2874,=85/85
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,303,1004,2875,200,1004,2039,=200/303,=1004/1004,=2039/2875,=86/86
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,279,1043,2842,190,1035,2020,=190/279,=1035/1043,=2020/2842,=114/115
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,305,1044,2877,202,1036,2041,=202/305,=1036/1044,=2041/2877,=115/116
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.03,1.82,1,306,1045,2878,203,1037,2042,=203/306,=1037/1045,=2042/2878,=116/117
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,307,1046,2879,204,1038,2043,=204/307,=1038/1046,=2043/2879,=117/118
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,308,1047,2880,205,1039,2044,=205/308,=1039/1047,=2044/2880,=118/119
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,309,1048,2881,206,1040,2045,=206/309,=1040/1048,=2045/2881,=119/120
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,644,998,2858,489,998,2033,=489/644,=998/998,=2033/2858,=237/237
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,645,1006,2883,490,1006,2047,=490/645,=1006/1006,=2047/2883,=238/238
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,646,1007,2884,491,1007,2048,=491/646,=1007/1007,=2048/2884,=239/239
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,647,1008,2885,492,1008,2049,=492/647,=1008/1008,=2049/2885,=240/240
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,648,1009,2886,493,1009,2050,=493/648,=1009/1009,=2050/2886,=241/241
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,310,1049,2882,207,1041,2046,=207/310,=1041/1049,=2046/2882,=120/121
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,311,1050,2888,208,1042,2052,=208/311,=1042/1050,=2052/2888,=121/122
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,649,1010,2887,494,1010,2051,=494/649,=1010/1010,=2051/2887,=242/242
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,304,1005,2876,201,1005,2040,=201/304,=1005/1005,=2040/2876,=87/87
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,313,1012,2891,210,1012,2055,=210/313,=1012/1012,=2055/2891,=88/88
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,314,1013,2892,211,1013,2056,=211/314,=1013/1013,=2056/2892,=89/89
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,650,1011,2890,495,1011,2054,=495/650,=1011/1011,=2054/2890,=243/243
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,651,1015,2894,496,1015,2058,=496/651,=1015/1015,=2058/2894,=244/244
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,299,828,2871,196,0,2035,=196/299,=0/828,=2035/2871,=0/102
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,312,1051,2889,209,1043,2053,=209/312,=1043/1051,=2053/2889,=122/123
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8198,1,317,1052,2897,213,1044,2060,=213/317,=1044/1052,=2060/2897,=123/124
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.029,1.82,1,318,1053,2898,214,1045,2061,=214/318,=1045/1053,=2061/2898,=124/125
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,319,1054,2899,215,1046,2062,=215/319,=1046/1054,=2062/2899,=125/126
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,652,1016,2895,497,1016,2059,=497/652,=1016/1016,=2059/2895,=245/245
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,316,829,2896,212,0,2059,=212/316,=0/829,=2059/2896,=0/103
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,321,830,2902,216,0,2064,=216/321,=0/830,=2064/2902,=0/104
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,653,1017,2901,498,1017,2064,=498/653,=1017/1017,=2064/2901,=246/246
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,654,1018,2904,499,1018,2065,=499/654,=1018/1018,=2065/2904,=247/247
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,655,1019,2905,500,1019,2066,=500/655,=1019/1019,=2066/2905,=248/248
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,315,1014,2893,212,1014,2057,=212/315,=1014/1014,=2057/2893,=90/90
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,322,831,2903,216,0,2064,=216/322,=0/831,=2064/2903,=0/105
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,324,832,2908,217,0,2068,=217/324,=0/832,=2068/2908,=0/106
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,656,1020,2906,501,1020,2067,=501/656,=1020/1020,=2067/2906,=249/249
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,657,1022,2910,502,1022,2069,=502/657,=1022/1022,=2069/2910,=250/250
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.81976,1,320,1055,2900,216,1047,2063,=216/320,=1047/1055,=2063/2900,=126/127
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,326,1056,2912,218,1048,2071,=218/326,=1048/1056,=2071/2912,=127/128
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,323,1021,2907,217,1021,2068,=217/323,=1021/1021,=2068/2907,=91/91
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,327,1057,2913,219,1049,2072,=219/327,=1049/1057,=2072/2913,=128/129
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,329,1058,2915,221,1050,2074,=221/329,=1050/1058,=2074/2915,=129/130
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,330,1059,2916,222,1051,2075,=222/330,=1051/1059,=2075/2916,=130/131
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,328,1024,2914,220,1024,2073,=220/328,=1024/1024,=2073/2914,=92/92
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,332,1025,2918,224,1025,2077,=224/332,=1025/1025,=2077/2918,=93/93
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,333,1026,2919,225,1026,2078,=225/333,=1026/1026,=2078/2919,=94/94
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,334,1027,2920,226,1027,2079,=226/334,=1027/1027,=2079/2920,=95/95
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,335,1028,2921,227,1028,2080,=227/335,=1028/1028,=2080/2921,=96/96
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,325,833,2909,217,0,2068,=217/325,=0/833,=2068/2909,=0/107
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,337,834,2923,228,0,2081,=228/337,=0/834,=2081/2923,=0/108
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,338,835,2924,228,0,2081,=228/338,=0/835,=2081/2924,=0/109
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,339,836,2925,228,0,2081,=228/339,=0/836,=2081/2925,=0/110
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,340,837,2926,228,0,2081,=228/340,=0/837,=2081/2926,=0/111
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,341,838,2927,228,0,2081,=228/341,=0/838,=2081/2927,=0/112
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,342,839,2928,228,0,2081,=228/342,=0/839,=2081/2928,=0/113
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,343,840,2929,228,0,2081,=228/343,=0/840,=2081/2929,=0/114
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,344,841,2930,228,0,2081,=228/344,=0/841,=2081/2930,=0/115
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,658,1023,2911,503,1023,2070,=503/658,=1023/1023,=2070/2911,=251/251
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,659,1030,2932,504,1030,2082,=504/659,=1030/1030,=2082/2932,=252/252
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,345,842,2931,228,0,2081,=228/345,=0/842,=2081/2931,=0/116
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,346,843,2934,228,0,2083,=228/346,=0/843,=2083/2934,=0/117
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,347,844,2935,228,0,2083,=228/347,=0/844,=2083/2935,=0/118
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,660,1031,2933,505,1031,2083,=505/660,=1031/1031,=2083/2933,=253/253
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,661,1032,2937,506,1032,2084,=506/661,=1032/1032,=2084/2937,=254/254
gemini-1.5-flash-002,one_shot,EI36aLEOUVXUaobJieSVIffrC65G3nsHUaNvWg==,2.02876,1.8197,1,662,1033,2938,507,1033,2085,=507/662,=1033/1033,=2085/2938,=255/255
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,331,1060,2917,223,1052,2076,=223/331,=1052/1060,=2076/2917,=131/132
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,348,845,2936,228,0,2083,=228/348,=0/845,=2083/2936,=0/119
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,336,1029,2922,228,1029,2081,=228/336,=1029/1029,=2081/2922,=97/97
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,351,1034,2941,230,1034,2087,=230/351,=1034/1034,=2087/2941,=98/98
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,349,1061,2939,229,1053,2086,=229/349,=1053/1061,=2086/2939,=132/133
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,353,1062,2943,232,1054,2089,=232/353,=1054/1062,=2089/2943,=133/134
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,354,1063,2944,233,1055,2090,=233/354,=1055/1063,=2090/2944,=134/135
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,352,1035,2942,231,1035,2088,=231/352,=1035/1035,=2088/2942,=99/99
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,356,1036,2946,235,1036,2092,=235/356,=1036/1036,=2092/2946,=100/100
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,357,1037,2947,236,1037,2093,=236/357,=1037/1037,=2093/2947,=101/101
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,358,1038,2948,237,1038,2094,=237/358,=1038/1038,=2094/2948,=102/102
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,359,1039,2949,238,1039,2095,=238/359,=1039/1039,=2095/2949,=103/103
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,360,1040,2950,239,1040,2096,=239/360,=1040/1040,=2096/2950,=104/104
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,361,1041,2951,240,1041,2097,=240/361,=1041/1041,=2097/2951,=105/105
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,362,1042,2952,241,1042,2098,=241/362,=1042/1042,=2098/2952,=106/106
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,363,1043,2953,242,1043,2099,=242/363,=1043/1043,=2099/2953,=107/107
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,364,1044,2954,243,1044,2100,=243/364,=1044/1044,=2100/2954,=108/108
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,365,1045,2955,244,1045,2101,=244/365,=1045/1045,=2101/2955,=109/109
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,366,1046,2956,245,1046,2102,=245/366,=1046/1046,=2102/2956,=110/110
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,367,1047,2957,246,1047,2103,=246/367,=1047/1047,=2103/2957,=111/111
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,368,1048,2958,247,1048,2104,=247/368,=1048/1048,=2104/2958,=112/112
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,369,1049,2959,248,1049,2105,=248/369,=1049/1049,=2105/2959,=113/113
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,370,1050,2960,249,1050,2106,=249/370,=1050/1050,=2106/2960,=114/114
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,371,1051,2961,250,1051,2107,=250/371,=1051/1051,=2107/2961,=115/115
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,372,1052,2962,251,1052,2108,=251/372,=1052/1052,=2108/2962,=116/116
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,373,1053,2963,252,1053,2109,=252/373,=1053/1053,=2109/2963,=117/117
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,374,1054,2964,253,1054,2110,=253/374,=1054/1054,=2110/2964,=118/118
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,375,1055,2965,254,1055,2111,=254/375,=1055/1055,=2111/2965,=119/119
gemini-1.5-flash-002,one_shot,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,376,1056,2966,255,1056,2112,=255/376,=1056/1056,=2112/2966,=120/120
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,350,846,2940,229,0,2086,=229/350,=0/846,=2086/2940,=0/120
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,378,847,2968,256,0,2113,=256/378,=0/847,=2113/2968,=0/121
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,379,848,2969,256,0,2113,=256/379,=0/848,=2113/2969,=0/122
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,380,849,2970,256,0,2113,=256/380,=0/849,=2113/2970,=0/123
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,381,850,2971,256,0,2113,=256/381,=0/850,=2113/2971,=0/124
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,382,851,2972,256,0,2113,=256/382,=0/851,=2113/2972,=0/125
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,383,852,2973,256,0,2113,=256/383,=0/852,=2113/2973,=0/126
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02875783811,1.8197,1,355,1064,2945,234,1056,2091,=234/355,=1056/1064,=2091/2945,=135/136
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,385,1065,2975,257,1057,2114,=257/385,=1057/1065,=2114/2975,=136/137
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.02876,1.8197,1,386,1066,2976,258,1058,2115,=258/386,=1058/1066,=2115/2976,=137/138
gemini-1.5-flash-002,CoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,2.03,1.82,1,387,1067,2977,259,1059,2116,=259/387,=1059/1067,=2116/2977,=138/139
gemini-1.5-flash-002,PoT,fUyuU8aCfEWrAePEtmb8oc17UWFZh4DN9rZKcw==,+,0,384,853,2974,256,0,2113,=256/384,=0/853,=2113/2974,=0/127
